time_s,L_Wx,L_Wy,L_Wz,L_Lacc_dt_s,L_GameRo_dt_s,R_Wx,R_Wy,R_Wz,R_Lacc_dt_s,R_GameRo_dt_s
21.0562,-0.8246303862732506,-11.525118968940033,0.4944041644378286,0.005589347000000799,0.005589347000000799,-0.5393748551223172,6.134035058775219,-4.7790596003165975,0.008055365000000592,0.008055365000000592
21.0762,-0.3749287514948099,-10.600240295389542,-1.3106269916732354,0.005459301000001915,0.005459301000001915,-0.21340227203818163,6.546503198064288,-5.26037169295317,0.007755468999999238,0.007755468999999238
21.0962,-0.46768822630330614,-9.793801265877237,-3.172859512723289,0.005328562000002535,0.005328562000002535,-0.10087427952655359,7.218576931247376,-5.454537053443971,0.0074556249999986335,0.0074556249999986335
21.116200000000003,-1.0226419373689786,-9.278451360511013,-5.287444072381805,0.005198474999996705,0.005198474999996705,-0.13472863430215387,7.780835950704926,-5.366054985118663,0.0071557289999972795,0.0071557289999972795
21.136200000000002,-1.4140033186383052,-8.61340634696338,-7.390944643073081,0.005068183999998865,0.005068183999998865,-0.40365535977464173,8.31579545555917,-5.048022711104489,0.0068558329999959255,0.0068558329999959255
21.156200000000002,-1.6281407209823726,-7.969540374292349,-9.143058734100046,0.004912950999997889,0.004912950999997889,-0.8696082691647158,9.113235829226197,-5.083616545246922,0.006555989999998957,0.006555989999998957
21.1762,-2.0298320388212825,-7.309336541989178,-10.34065463160415,0.004783189000001187,0.004783189000001187,-1.3506591052036123,10.217672659231825,-5.496105021769226,0.006256093999997603,0.006256093999997603
21.1962,-2.217015994280155,-6.675611437590884,-11.20020995407728,0.004677596000000506,0.004677596000000506,-2.134217642100955,11.354286625507154,-5.666323524294603,0.005956250000000551,0.005956250000000551
21.2162,-2.879269588162063,-6.361929965644743,-12.299057148859687,0.004547754000000737,0.004547754000000737,-2.956945868309738,12.134978959711997,-4.992657787114309,0.0056426559999991355,0.0056426559999991355
21.2362,-3.331014368392054,-6.313920034482913,-12.980003354226113,0.0044177060000016866,0.0044177060000016866,-3.31505386452087,11.906715714797672,-3.846142452161054,0.005356510999998676,0.005356510999998676
21.2562,-2.8898717050402114,-6.352341329579279,-12.684353438820875,0.004286805999999643,0.004286805999999643,-3.0086852822935035,11.109918828510857,-2.123099973154912,0.005056615000000875,0.005056615000000875
21.276200000000003,-1.9139234216968724,-6.469544722613225,-12.004227972593139,0.0041493529999989676,0.0041493529999989676,-1.968317699103513,11.035893332727333,-0.2908827668670734,0.004743020999995906,0.004743020999995906
21.296200000000002,-1.4578457580357147,-6.797352139956497,-11.440915856311769,0.004026427999999527,0.004026427999999527,-1.1703691193993575,10.961200400851439,1.581586196427713,0.0044568749999989166,0.0044568749999989166
21.316200000000002,-1.3381381607815794,-7.378338354907527,-10.843994715194237,0.003896054999998455,0.003896054999998455,-1.0531317199183376,10.141905577823177,3.246051267466513,0.004156978999997563,0.004156978999997563
